Choice,Package option,Price,Category,URL
Leofoo Village Theme Park Ticket,One-Day Admission Ticket,840,Premium,https://www.klook.com/activity/3328-leofoo-village-theme-park-taipei/
"Yehliu Geopark, Jiufen, Shifen, and Golden Waterfall Day Tour",Day Tour: Yehliu & Shifen & Jiufen,793,Premium,https://www.klook.com/activity/76306-yehliu-jiufen-shifen-golden-waterfall-day-tour/
New Taipei: Public Bath and Private Bath with View at Hot Volando Urai Spring Spa & Resort,2022-23 · High Season Weekday · Public Bath · No meals,695,Premium,https://www.klook.com/activity/825-volando-urai-hot-spring-taipei
LOHAS Taiwanese Foot Massage in Taipei,"Head, Neck, and Shoulder Massage + Foot Massage (55 minutes)",680,Premium,https://www.klook.com/activity/30360-lohas-taiwanese-foot-massage-taipei
i-Ride Taipei Flying Cinema Experience Center Ticket,i-Ride Taipei Flying Cinema Experience Center Ticket,600,Premium,https://www.klook.com/activity/21048-i-ride-flying-cinema-experience-center-taipei/
Taipei 101 Observatory Ticket,89F Observatory Ticket,600,Premium,https://www.klook.com/activity/1659-taipei-101-taipei/
Dynasty Massage in Taipei,Foot Massage 40 Minutes,559,Premium,https://www.klook.com/activity/55200-taipei-dynasty-massage-experience/
Taipei Double Decker Sightseeing Bus Ticket,24-Hour Pass,540,Premium,https://www.klook.com/activity/2921-double-decker-bus-tour-taipei
Spring City Resort Hot Spring in Taipei,Public Spa or Bathhouse,529,Premium,https://www.klook.com/activity/7950-spring-city-resort-beitou-hot-spring-spa-taipei/
EasyCard (TPE Airport Pick Up),EasyCard with TWD400 Deposit - No SIM Card,500,Premium,https://www.klook.com/activity/5777-public-transport-easycard-taipei/
Forest SPA Linsen Massage in Taipei,Foot Massage 35 Minutes,499,Premium,https://www.klook.com/activity/65785-forestspa-taipei/
Stone Spa at Xian Zhi Tan in (Phone Reservation Required),Individual dome-shaped bedrock bath (60 minutes),399,Premium,https://www.klook.com/activity/66425-stone-spa-taipei/
Taipei: Yuanshan West Secret Road Guided Tour,Guided tour of West Secret Road (free Garden Cafe voucher $200),360,Standard,https://www.klook.com/activity/88020-the-grand-hotel-taipei-west-secret-passage-tour-taipei
National Palace Museum Ticket,National Palace Museum Taipei Ticket (Enjoy a 10% discount on purchases at Gift Shop),350,Standard,https://www.klook.com/activity/10136-national-palace-museum-ticket-package-taipei
Maokong Gondola,Maokong Gondola One Day Ticket (Unlimited Day Pass) + Taipei Zoo Ticket,280,Standard,https://www.klook.com/activity/16000-maokong-gondola-combo-ticket-taipei/
Taoyuan Airport MRT Ticket & Exclusive Shopping Coupon (for non-Taiwanese nationals only),Round-trip ticket,265,Standard,https://www.klook.com/activity/11346-taoyuan-airport-mrt-ticket-taipei
Lin Dong Fang Beef Noodles: Beef Noodles Set (Small),Beef Noodles Set (Small),250,Standard,https://www.klook.com/activity/15870-lin-dong-fang-taipei/
Sky Lantern Experience in Shifen Old Street,Colorful Sky Lantern - Sky Lantern Experience Voucher,250,Standard,https://www.klook.com/activity/90102-sky-lantern-experience-new-taipei/
Taoyuan Airport (TPE) Kuo-Kuang Round Trip Bus Tickets,Kuo-Kuang Bus 1819 (Taoyuan Airport - Kuo-Kuang Bus Taipei Terminal) Round Trip Ticket,240,Standard,https://www.klook.com/activity/16786-taoyuan-airport-kuo-kuang-bus-tickets-taipei
Miniatures Museum of Taiwan Ticket,Adult Ticket,219,Standard,https://www.klook.com/activity/15528-miniatures-museum-taiwan-ticket-taipei/
Taipei Children's Amusement Park 1-Day Pass,One Day Pass (Unlimited rides on 13 attractions),179,Standard,https://www.klook.com/activity/32301-taipei-childrens-amusement-park-one-day-pass
Taipei: Miramar Ferris Wheel Ticket,Admission Ticket,170,Standard,https://www.klook.com/activity/17764-miramar-entertainment-park-ferris-wheel-taipei
National Museum of Marine Science and Technology Ticket in Keelung,Main Exhibition Building Admission Ticket,160,Standard,https://www.klook.com/activity/27336-national-museum-marine-science-technology-taipei/
Beitou Museum Ticket,Tickets for Beitou Cultural Heritage Museum,120,Standard,https://www.klook.com/activity/47816-beitou-museum-ticket-taipei/
Yehliu Geopark Ticket,Admission ticket,120,Standard,https://www.klook.com/activity/9548-yehliu-geopark-admission-ticket-taipei
Chiang Kai-Shek Shilin Residence Main Building Ticket,Chiang Kai-Shek Shilin Residence Main Building Ticket,95,Standard,https://www.klook.com/activity/34995-chiang-kai-shek-shilin-residence-main-building-ticket-taipei
Tamsui Historical Museum Ticket,Tamsui Historical Museum Ticket,80,Standard,https://www.klook.com/activity/27150-tamsui-historical-museum-ticket-taipei/
New Taipei Gold Museum E-Ticket,Gold Museum Ticket,80,Standard,https://www.klook.com/activity/23270-gold-museum-packed-lunch-taipei/
Ay-Chung Flour-Rice Noodle,Flour-Rice Noodle (Large),75,Standard,https://www.klook.com/activity/10451-ay-chung-flour-rice-noodle-taipei/
Shi Yun Taiwanese Fried Chicken: Fried Chicken (1 Pack),Fried Chicken (1 Pack),63,Standard,https://www.klook.com/activity/24122-shi-yun-fried-chicken-taipei/
Taipei Zoo Ticket,Regular Ticket,60,Standard,https://www.klook.com/activity/34262-maokong-gondola-taipei-zoo-tickets/